Compiled loss functions
compiled score function
0 194.253860474 192.65322876
1 179.747192383 178.123474121
2 176.209228516 174.722640991
3 172.848388672 170.922439575
4 169.938812256 168.22505188
5 167.316162109 165.481552124
6 165.056640625 162.832992554
7 163.309707642 161.746139526
8 162.492538452 161.018951416
9 161.092773438 159.451538086
10 160.382202148 158.494949341
11 159.339797974 157.860015869
12 159.070388794 157.197265625
13 158.043075562 156.279296875
14 157.280731201 155.742660522
15 156.62171936 155.016220093
16 156.140380859 154.498001099
17 155.557540894 154.456085205
18 154.90965271 153.6040802
19 154.58039856 153.522338867
20 154.455291748 152.947982788
21 153.591598511 152.376922607
22 153.357421875 152.219543457
23 153.444595337 152.450042725
24 152.829589844 151.667510986
25 152.747772217 151.733978271
26 152.054382324 151.187713623
27 151.767211914 150.598953247
28 151.673065186 150.631027222
29 151.334503174 150.528945923
30 150.964126587 150.139801025
31 150.89151001 150.045455933
32 150.538009644 149.782928467
33 150.280059814 149.722976685
34 150.299484253 149.60824585
35 150.259094238 149.798416138
36 149.829269409 149.348358154
37 149.766479492 149.087402344
38 149.554595947 149.004440308
39 149.130493164 148.669952393
40 149.463653564 148.648757935
41 149.264099121 149.18522644
42 148.851196289 148.648925781
43 148.732910156 148.387329102
44 148.440490723 147.854797363
45 148.416732788 148.007110596
46 148.245117188 147.72164917
47 148.279891968 147.95135498
48 147.96736145 147.530441284
49 147.838989258 147.597412109
50 147.792419434 147.383422852
51 147.657516479 147.230712891
52 147.754302979 147.332763672
53 147.225982666 146.956115723
54 147.264144897 147.149490356
55 147.174880981 147.203201294
56 147.138900757 147.076370239
57 147.018859863 146.863327026
58 147.253967285 147.4584198
59 146.701049805 146.751571655
60 146.793899536 146.742294312
61 146.451980591 146.540878296
62 146.380661011 146.489242554
63 146.612747192 146.384216309
64 146.514480591 146.341415405
65 146.337173462 146.287460327
66 146.406570435 146.212478638
67 146.392318726 146.765045166
68 146.03868103 146.059844971
69 146.008422852 146.001876831
70 145.860488892 146.083953857
71 145.791351318 145.792053223
72 145.782409668 145.715560913
73 145.492858887 145.717697144
74 145.59046936 145.530548096
75 145.541671753 145.988723755
76 145.496414185 145.651473999
77 145.510787964 145.632614136
78 145.238769531 145.318939209
79 145.244415283 145.168014526
80 145.277008057 145.651153564
81 145.170471191 145.494674683
82 145.116470337 145.374343872
83 145.033401489 145.536529541
84 144.922180176 145.50100708
85 144.826553345 145.015029907
86 144.696289062 144.867446899
87 144.835418701 145.224594116
88 144.704620361 145.035339355
89 144.63458252 145.080215454
90 144.500091553 144.75289917
91 144.466491699 144.948913574
92 144.330780029 144.893783569
93 144.603012085 145.033065796
94 144.470199585 144.813568115
95 144.18347168 144.621337891
96 144.079071045 144.513153076
97 144.376800537 144.946166992
98 144.146881104 144.765365601
99 144.176559448 144.657608032
100 144.203948975 144.432739258
101 143.907577515 144.340240479
102 144.111923218 144.918029785
103 143.982421875 144.51008606
104 143.771011353 144.258773804
105 143.953735352 144.570098877
106 144.005599976 144.755874634
107 143.587219238 144.260299683
108 143.973800659 144.533081055
109 143.749832153 144.30657959
110 143.599395752 144.190765381
111 143.717529297 144.262756348
112 143.555145264 143.805892944
113 143.448684692 143.930252075
114 143.389678955 143.939804077
115 143.508621216 144.168106079
116 143.407318115 143.80809021
117 143.324005127 143.954147339
118 143.395965576 143.961151123
119 143.391540527 143.901275635
120 143.137039185 143.889480591
121 143.241378784 143.79737854
122 143.326812744 143.889526367
123 143.054763794 143.654571533
124 143.426040649 144.458969116
125 143.365066528 143.636703491
126 143.381317139 144.486175537
127 142.904998779 143.707275391
128 142.876022339 143.737228394
129 143.017425537 143.904647827
130 142.984802246 143.844528198
131 142.870361328 143.547653198
132 142.754974365 143.496948242
133 142.929504395 143.98348999
134 142.725738525 143.403884888
135 142.822357178 143.727172852
136 142.872940063 143.514846802
137 142.618362427 143.221969604
138 142.897994995 143.536270142
139 142.669219971 143.425003052
140 142.614242554 143.251876831
141 142.703704834 143.850769043
142 142.89515686 143.564407349
143 142.449829102 143.207824707
144 142.571838379 143.342163086
145 142.384597778 143.292480469
146 142.457733154 143.343658447
147 142.488586426 143.07598877
148 142.552520752 143.348098755
149 142.492034912 143.359695435
150 142.667129517 143.16242981
151 142.338394165 143.269165039
152 142.25982666 142.964477539
153 142.248641968 143.250137329
154 142.279129028 143.052734375
155 142.201095581 143.272399902
156 142.163909912 143.095672607
157 142.173568726 143.279663086
158 142.257873535 143.223678589
159 142.097290039 143.19102478
160 142.204238892 143.048416138
161 141.867675781 142.724472046
162 141.904663086 142.799423218
163 141.942169189 142.89642334
164 141.822509766 142.917480469
165 141.912322998 142.95098877
166 142.095397949 143.182266235
167 141.874221802 143.052520752
168 142.500442505 143.935821533
169 141.825698853 143.117202759
170 141.89642334 142.930847168
171 141.865844727 143.142456055
172 141.911483765 142.798019409
173 141.842895508 143.160964966
174 141.931991577 143.117996216
175 141.734603882 142.823852539
176 141.664077759 142.479492188
177 141.5440979 142.615921021
178 141.596878052 142.56678772
179 141.513412476 142.805297852
180 141.704452515 142.847808838
181 141.693023682 142.602706909
182 141.572891235 142.704544067
183 141.47366333 142.551116943
184 141.535079956 142.642288208
185 141.607162476 142.540298462
186 141.545410156 142.335403442
187 141.386932373 142.625137329
188 141.714233398 142.432693481
189 141.595443726 142.67237854
190 141.401580811 142.544235229
191 141.591110229 142.441040039
192 141.413131714 142.58416748
193 141.331451416 142.746429443
194 141.302536011 142.452880859
195 141.509307861 142.789978027
196 141.191558838 142.196655273
197 141.267562866 142.471542358
198 141.11289978 142.250915527
199 141.186508179 142.570465088
200 141.494049072 142.796264648
201 141.060623169 142.274902344
202 141.330093384 142.908615112
203 141.101593018 142.302749634
204 141.218963623 142.295166016
205 141.231552124 142.39050293
206 141.081161499 142.354049683
207 141.071273804 142.441925049
208 141.123672485 142.275039673
209 141.133895874 142.409332275
210 140.980407715 142.171844482
211 141.163619995 142.56312561
212 141.124862671 142.184326172
213 140.998931885 142.045776367
214 141.242080688 142.568786621
215 141.09413147 142.280792236
216 140.746551514 142.040222168
217 140.824172974 142.177352905
218 140.857803345 142.113952637
219 141.024093628 142.240631104
220 140.835662842 142.219329834
221 140.970962524 142.212860107
222 141.054153442 142.290771484
223 141.214431763 142.262634277
224 140.93460083 142.100540161
225 141.035064697 142.456619263
226 141.119812012 142.139343262
227 140.830596924 141.915802002
228 140.689498901 142.195968628
229 140.836013794 142.117889404
230 140.936859131 142.097564697
231 140.854751587 141.996826172
232 140.943710327 142.03086853
233 140.819580078 142.024688721
234 140.792877197 141.876266479
235 140.868850708 142.332565308
236 140.669754028 141.930664062
237 140.722808838 141.923324585
238 140.720153809 141.937515259
239 140.691268921 141.940734863
240 140.610137939 142.140197754
241 140.671630859 142.092254639
242 140.578170776 141.847045898
243 140.804626465 142.167907715
244 140.61668396 142.169006348
245 140.481948853 141.706207275
246 140.760681152 142.200256348
247 140.668395996 142.0831604
248 140.538345337 141.767654419
249 140.697769165 141.80847168
250 140.409790039 141.779678345
251 140.486190796 142.106628418
252 140.359512329 141.746902466
