Compiled loss functions
compiled score function
0 198.336547852 196.71434021
1 189.850402832 188.353469849
2 184.94329834 183.468688965
3 175.790130615 174.209884644
4 171.739761353 170.139984131
5 169.480102539 168.149703979
6 168.056930542 166.853546143
7 166.797592163 165.588989258
8 165.720932007 164.703323364
9 164.858215332 163.712051392
10 164.147949219 163.330871582
11 163.793807983 163.094512939
12 162.769042969 161.711868286
13 161.894546509 160.97354126
14 161.132217407 160.560592651
15 160.682876587 160.085113525
16 160.378585815 159.540176392
17 159.28855896 158.690948486
18 158.866470337 158.251464844
19 158.222549438 157.508560181
20 157.876800537 157.15524292
21 157.326461792 156.632080078
22 156.760025024 156.18548584
23 156.372512817 155.711120605
24 155.826370239 155.250930786
25 155.379486084 154.987625122
26 155.123352051 154.419906616
27 154.89831543 154.59336853
28 155.067718506 154.368438721
29 154.308349609 153.668685913
30 154.293258667 154.016601562
31 153.966415405 153.677017212
32 153.209350586 152.824569702
33 153.542816162 153.450180054
34 152.803024292 152.988998413
35 152.636199951 152.71711731
36 152.312911987 152.281799316
37 151.804992676 151.760040283
38 151.862869263 151.77961731
39 151.420150757 151.750793457
40 151.128585815 151.235565186
41 151.147460938 151.224029541
42 151.553649902 151.883026123
43 150.91078186 151.449874878
44 150.851837158 151.132003784
45 150.546768188 151.013519287
46 150.812850952 151.533889771
47 149.977783203 150.353210449
48 150.252990723 151.019851685
49 150.025192261 150.858154297
50 149.81362915 150.418121338
51 149.410430908 150.008178711
52 149.369308472 149.837188721
53 149.643783569 150.372543335
54 149.111862183 149.881530762
55 148.742477417 149.459945679
56 148.896347046 149.656936646
57 148.703384399 149.6587677
58 148.597061157 149.528060913
59 148.368347168 149.299194336
60 148.452896118 149.602523804
61 147.894943237 149.179214478
62 148.121231079 149.40625
63 147.819274902 148.98664856
64 147.79750061 149.165664673
65 147.616439819 148.994674683
66 148.169891357 149.894195557
67 147.65965271 149.061126709
68 147.298080444 148.758956909
69 147.140899658 148.664596558
70 147.259368896 148.758178711
71 146.999420166 148.642532349
72 147.027099609 148.641738892
73 147.100402832 149.219665527
74 147.072509766 148.54788208
75 146.719924927 148.481430054
76 147.209884644 149.426498413
77 146.538833618 148.40788269
78 146.614471436 148.427032471
79 146.275360107 148.227844238
80 146.380661011 148.463562012
81 146.645721436 149.05015564
82 146.252639771 148.47505188
83 146.1953125 148.582519531
84 146.033447266 148.241165161
85 146.05291748 148.15071106
86 146.676437378 148.496749878
87 146.009185791 148.274841309
88 146.063400269 148.598815918
89 146.094299316 148.633956909
90 145.9790802 148.262039185
91 145.379470825 147.854110718
