ExpLogPatternSub
LogExpPatternSub
[[ 0.  0.  0. ...,  0.  0.  0.]
 [ 0.  0.  0. ...,  0.  0.  0.]
 [ 0.  0.  0. ...,  0.  0.  0.]
 ..., 
 [ 0.  0.  0. ...,  0.  0.  0.]
 [ 0.  0.  0. ...,  0.  0.  0.]
 [ 0.  0.  0. ...,  0.  0.  0.]]
compiled score function
Old best loss
garray(99.96089172363281)
Compiled loss functions
0 96.8473587036 99.9429626465
1 96.8124694824 100.003250122
2 96.8377304077 99.9923095703
3 96.8555679321 99.9911117554
4 96.8370361328 99.9860687256
5 96.8617706299 100.019691467
6 96.8143005371 100.012939453
7 96.8991394043 99.9951400757
8 96.8084793091 100.04650116
9 96.8138580322 99.9702758789
10 96.8567352295 100.073120117
11 96.8082199097 99.9974899292
12 96.8248291016 100.012062073
13 96.7768554688 99.9622650146
14 96.7669754028 99.9416732788
15 96.8118743896 99.9169998169
16 96.8358383179 99.9738845825
17 96.8790283203 100.017837524
18 96.8638839722 99.91847229
19 96.8354187012 100.005233765
20 96.798538208 99.9817733765
21 96.8985671997 100.000213623
22 96.8801803589 100.061843872
23 96.8871002197 100.071334839
24 96.9056472778 100.054542542
25 96.8689956665 100.056564331
26 96.8253707886 99.9409713745
27 96.8108139038 99.9449081421
28 96.8137741089 100.018424988
29 96.8160400391 99.8855667114
30 96.7979354858 99.9676818848
31 96.8241577148 99.9929199219
32 96.8014984131 99.9941940308
33 96.8652801514 99.9649124146
34 96.782585144 99.8740615845
35 96.8515548706 100.034172058
36 96.8867797852 100.011947632
37 96.8285293579 100.110450745
38 96.8938293457 100.053634644
39 96.8834381104 99.9884567261
40 96.9075698853 100.062263489
41 96.8375549316 100.079025269
42 96.803314209 99.9453811646
43 96.8376312256 100.04384613
44 96.7930908203 99.9656448364
45 96.8025970459 100.050933838
46 96.7713470459 99.9771881104
47 96.8223800659 100.005851746
48 96.7810211182 100.022186279
49 96.7952651978 99.9523696899
50 96.9666290283 100.143562317
51 96.8003997803 99.9451217651
52 96.8078155518 99.9971618652
53 96.8054580688 99.9611434937
54 96.8338851929 99.9529647827
55 96.8349761963 100.003211975
56 96.8341598511 100.006538391
57 96.7739944458 99.9042739868
58 96.8101501465 100.022659302
59 96.7913360596 100.018920898
60 96.8701858521 100.00881958
61 96.8008880615 99.9469451904
62 96.8378372192 100.050010681
63 96.7902908325 99.9455490112
64 96.8409042358 99.9493103027
65 96.8299942017 99.9454421997
66 96.8282546997 100.014831543
67 96.8761901855 100.021781921
68 96.8321990967 99.8675231934
69 96.7979812622 99.9684066772
70 96.8932189941 100.104927063
71 96.8076782227 99.9189224243
72 96.8429641724 100.069702148
73 96.8158874512 99.9458312988
74 96.7785949707 99.9784545898
75 96.8456192017 99.949432373
76 96.844619751 100.068138123
77 96.8337173462 99.9151687622
78 96.7983779907 99.9466400146
79 96.8188247681 100.115112305
80 96.7823944092 99.8908081055
81 96.7905654907 99.9367294312
82 96.7994995117 99.9630508423
83 96.8133468628 99.9348449707
84 96.8135986328 99.8897628784
85 96.8188476562 99.9537353516
86 96.7416000366 99.9841461182
87 96.8103790283 99.9510955811
88 96.8049163818 99.9363250732
89 96.7537994385 99.8422775269
90 96.8335494995 99.9553451538
91 96.8462371826 100.028495789
92 96.8141860962 100.043075562
93 96.8004684448 100.005119324
94 96.7940139771 99.9162521362
95 96.7947463989 100.009132385
96 96.7739944458 99.9865493774
97 96.8362579346 100.007965088
98 96.7989349365 99.9687347412
99 96.8133392334 99.9770584106
100 96.7964553833 100.03074646
101 96.806678772 100.045875549
102 96.7665557861 99.9780960083
103 96.8109741211 99.9912948608
104 96.7714157104 100.007743835
105 96.7780838013 99.946685791
106 96.8259658813 99.9878463745
107 96.7966308594 99.9019241333
108 96.8125610352 100.017311096
109 96.8311767578 99.9585494995
110 96.7027359009 99.9097900391
111 96.8246612549 100.034317017
112 96.8041687012 100.059883118
113 96.8143463135 99.9787979126
114 96.7643737793 99.9408874512
115 96.8129043579 99.97706604
116 96.8156356812 100.010055542
117 96.7688751221 99.9321975708
118 96.8283538818 99.9985580444
119 96.772567749 99.9456787109
120 96.8063583374 99.9923324585
121 96.7940979004 99.9008789062
122 96.8419265747 100.072532654
123 96.7610397339 100.033676147
124 96.7751464844 99.9945831299
125 96.7649002075 99.9250717163
126 96.8110046387 99.938293457
127 96.7990570068 99.9066467285
128 96.8426589966 100.039161682
129 96.7183380127 99.9289016724
130 96.8040084839 100.043174744
131 96.8014068604 99.9725723267
132 96.8363952637 99.9834442139
133 96.730796814 99.9737243652
134 96.7726287842 100.018737793
135 96.7184143066 99.8422241211
136 96.7967605591 99.9789199829
137 96.7978897095 100.020568848
138 96.8469543457 100.017028809
139 96.7575378418 99.9514541626
140 96.7957458496 100.000740051
141 96.7490768433 99.8535385132
142 96.7914886475 99.896812439
143 96.8321151733 100.012504578
144 96.8237609863 99.9236450195
145 96.7765579224 99.8968734741
146 96.7758407593 99.9818649292
147 96.7670669556 99.9906234741
148 96.7220993042 99.9846878052
149 96.8003845215 99.9257736206
150 96.7702407837 99.9312210083
151 96.7831954956 100.070175171
152 96.768157959 99.919670105
153 96.8145370483 100.003005981
154 96.818359375 100.01134491
155 96.7446365356 99.9411087036
156 96.8102798462 99.9434738159
157 96.7489395142 99.8598556519
158 96.7532501221 99.9515762329
159 96.7195358276 99.9342269897
160 96.7847137451 99.9968566895
161 96.7921905518 99.9356002808
162 96.7833251953 99.9475708008
163 96.7631759644 100.024436951
164 96.7640457153 99.9526519775
165 96.7142562866 99.8866577148
166 96.7066268921 99.864112854
167 96.7428588867 99.94115448
168 96.7894668579 99.9485473633
169 96.750617981 99.9238739014
170 96.7591552734 99.961807251
171 96.7697601318 99.9162063599
172 96.7407913208 99.9561920166
173 96.7081985474 99.8902816772
174 96.8296585083 99.9466934204
175 96.7310638428 99.9567871094
176 96.7777404785 99.923324585
177 96.7319488525 99.9418716431
178 96.7884979248 99.9506378174
179 96.8127746582 99.8896255493
180 96.8146286011 99.9253082275
181 96.8321762085 99.9810256958
182 96.7414093018 100.053794861
183 96.7786865234 100.037109375
184 96.7509384155 99.9140090942
185 96.7266082764 99.9764633179
186 96.8129806519 100.001022339
187 96.7224578857 99.9467163086
188 96.8019561768 99.9286727905
189 96.7989959717 100.033638
190 96.8156738281 99.9757843018
191 96.8054199219 99.9345321655
192 96.7097473145 99.9488754272
193 96.7924194336 100.096549988
194 96.7466964722 99.9116439819
195 96.7477493286 99.9948959351
196 96.7954940796 99.9606323242
197 96.7640762329 99.9496994019
198 96.7604980469 100.008872986
199 96.7671203613 100.001586914
200 96.761138916 100.058349609
201 96.7834396362 99.9337692261
202 96.7518539429 99.9210357666
203 96.7246170044 99.9923477173
204 96.7237701416 99.9948120117
205 96.7697982788 100.007156372
206 96.7216262817 99.891494751
207 96.7931365967 99.9376449585
208 96.7511138916 99.9759979248
209 96.8086471558 99.9635467529
210 96.7787475586 99.955581665
211 96.7283477783 99.9644470215
212 96.7235794067 99.9760360718
213 96.7192077637 99.9230575562
214 96.7718353271 99.8897705078
215 96.7927246094 100.001045227
216 96.7536392212 99.9277114868
217 96.7216949463 99.8688583374
218 96.7403411865 99.9927062988
219 96.6836242676 99.8000717163
220 96.8085784912 100.027282715
221 96.7771987915 99.9804611206
222 96.7465744019 99.8923568726
223 96.7082977295 99.8835601807
224 96.7622909546 99.9611740112
225 96.748878479 99.9160842896
226 96.7445373535 100.01915741
227 96.75390625 99.9889602661
228 96.7042160034 99.9073181152
229 96.7540054321 99.9546127319
230 96.778717041 99.9717788696
231 96.7788391113 99.9193649292
232 96.7652206421 99.9217681885
233 96.7104568481 99.9295501709
234 96.7480239868 99.8968353271
235 96.7501983643 99.9774780273
236 96.7643203735 100.002388
237 96.6940002441 99.8741073608
238 96.7399139404 99.9730148315
239 96.7346954346 99.8886184692
240 96.7016983032 99.8971252441
241 96.6859207153 99.8370895386
242 96.8026351929 99.9858474731
243 96.7157440186 100.008934021
244 96.7660751343 99.974899292
245 96.7769088745 99.9700775146
246 96.7499313354 100.002227783
247 96.6912994385 99.8434524536
248 96.7900009155 100.024627686
249 96.7348251343 99.8854293823
250 96.7735977173 99.9638290405
251 96.6812438965 99.9003143311
252 96.6956939697 100.016532898
253 96.7080688477 99.940322876
254 96.754989624 99.9388580322
255 96.740776062 99.8923187256
256 96.7581558228 99.9552001953
257 96.7156906128 99.9767303467
258 96.705116272 99.9383926392
259 96.75756073 100.006408691
260 96.7338867188 99.8455352783
261 96.7471160889 99.9591827393
262 96.7786941528 99.9121627808
263 96.7036209106 99.8920211792
264 96.7517166138 99.8846969604
265 96.6908950806 99.8632965088
266 96.7861175537 99.990776062
267 96.7745895386 100.026275635
268 96.7600402832 100.006385803
269 96.7736968994 99.9223937988
270 96.7537155151 99.9583816528
271 96.7055282593 99.8466796875
272 96.7437286377 99.9048690796
273 96.771270752 99.9568862915
274 96.6998672485 99.9672698975
275 96.7295608521 100.030860901
276 96.722984314 99.9566345215
277 96.7583999634 99.9193954468
278 96.7436676025 99.9281387329
279 96.7010650635 99.860710144
280 96.7407913208 99.8914260864
281 96.7376708984 99.9029388428
282 96.69165802 99.9625320435
283 96.7286987305 99.9098205566
284 96.7679901123 99.9421920776
285 96.6801986694 99.8487167358
286 96.6740951538 99.9832992554
287 96.7061843872 99.9461135864
288 96.7213058472 99.9723587036
289 96.6868362427 99.9043960571
290 96.7095184326 99.9374694824
291 96.7275161743 99.9848480225
292 96.7491149902 99.9468383789
293 96.7668991089 100.042198181
294 96.7307281494 99.9698562622
295 96.7445678711 99.9513473511
296 96.7724609375 99.9580383301
297 96.7741699219 99.950843811
298 96.723815918 99.9616012573
299 96.8025665283 99.9755096436
300 96.6989974976 99.9362564087
301 96.721206665 99.9394989014
302 96.6814956665 99.9271850586
303 96.7535400391 99.9115371704
304 96.682510376 99.8368606567
305 96.6913146973 99.8687973022
306 96.7772140503 99.9905776978
307 96.6986160278 99.8286819458
308 96.7329940796 99.9357528687
309 96.7038803101 99.9156723022
310 96.7406768799 99.9958496094
311 96.7484359741 99.9651947021
312 96.7703552246 99.9906997681
313 96.7089385986 99.922668457
314 96.7322769165 99.9518203735
315 96.6890640259 99.9325256348
316 96.7038497925 99.9439697266
317 96.6742782593 99.9827194214
318 96.7542877197 99.9270858765
319 96.7569961548 99.9158325195
320 96.7231750488 99.919303894
321 96.7008895874 100.013465881
322 96.6819000244 100.002662659
323 96.7063064575 99.9838562012
324 96.7079772949 99.9455718994
325 96.682258606 99.9048843384
326 96.6763839722 99.8747253418
327 96.7093353271 99.8469772339
328 96.7495956421 100.02633667
329 96.7296066284 99.9557723999
330 96.6759490967 99.8379440308
331 96.6310043335 99.887336731
332 96.7038955688 99.9197311401
333 96.6570053101 99.8451690674
334 96.711555481 99.8309402466
335 96.7340545654 99.8801498413
336 96.6669006348 99.9832687378
337 96.7405700684 100.003974915
338 96.7490539551 99.9498214722
339 96.7249298096 99.8576583862
340 96.6634674072 99.9236526489
341 96.7027206421 99.9120941162
342 96.7484893799 100.053405762
343 96.6864471436 99.8671340942
344 96.7523193359 99.9113464355
345 96.6815109253 99.9271240234
346 96.7002410889 99.8618469238
347 96.794303894 99.9724884033
348 96.6499786377 99.9334487915
349 96.6642379761 99.8668518066
350 96.6217269897 99.9458999634
351 96.7078170776 99.9024124146
352 96.689491272 99.9301071167
353 96.723274231 99.9311141968
354 96.6573791504 99.9119567871
355 96.7055740356 99.9130096436
356 96.6824951172 99.9308319092
