(50000L, 784L)
compiled score function
Old best loss:
garray(130.34397888183594)
Old best val NLL:
127.253283696
Compiled loss functions
[324359, 354630, 354670, 354679, 354682, 354766, 354782, 354798, 354814, 354839, 354915, 354935, 354966, 355046, 355114, 355122, 355135, 355166, 355198, 355230, 355231, 355235, 355246, 355263, 355286, 355338, 355346, 355390, 752394]

0 garray(128.03807067871094) 131.722290039 127.351317823 [ 0.00707636]
1 garray(128.00686645507812) 131.847335815 127.605928813 [ 0.00718021]
2 garray(127.4366455078125) 131.705429077 127.818324473 [ 0.0071972]
3 garray(127.47099304199219) 131.371444702 127.881506655 [ 0.00719926]
4 garray(127.40409851074219) 131.404525757 127.981619498 [ 0.00719963]
5 garray(127.77017211914062) 131.529602051 128.010060235 [ 0.0071997]
6 garray(nan) nan nan [ nan]
7 garray(nan) nan nan [ nan]
8 garray(nan) nan nan [ nan]
9 garray(nan) nan nan [ nan]
10 garray(nan) nan nan [ nan]
11 garray(nan) nan nan [ nan]
12 garray(nan) nan nan [ nan]
13 garray(nan) nan nan [ nan]
14 garray(nan) nan nan [ nan]
15 garray(nan) nan nan [ nan]
16 garray(nan) nan nan [ nan]
17 garray(nan) nan nan [ nan]
18 garray(nan) nan nan [ nan]
19 garray(nan) nan nan [ nan]
20 garray(nan) nan nan [ nan]
21 garray(nan) nan nan [ nan]
22 garray(nan) nan nan [ nan]
23 garray(nan) nan nan [ nan]
24 garray(nan) nan nan [ nan]
25 garray(nan) nan nan [ nan]
26 garray(nan) nan nan [ nan]
27 garray(nan) nan nan [ nan]
28 garray(nan) nan nan [ nan]
29 garray(nan) nan nan [ nan]
30 garray(nan) nan nan [ nan]
31 garray(nan) nan nan [ nan]
32 garray(nan) nan nan [ nan]
33 garray(nan) nan nan [ nan]
34 garray(nan) nan nan [ nan]
35 garray(nan) nan nan [ nan]
36 garray(nan) nan nan [ nan]
37 garray(nan) nan nan [ nan]
38 garray(nan) nan nan [ nan]
39 garray(nan) nan nan [ nan]
40 garray(nan) nan nan [ nan]
41 garray(nan) nan nan [ nan]
42 garray(nan) nan nan [ nan]
43 garray(nan) nan nan [ nan]
44 garray(nan) nan nan [ nan]
45 garray(nan) nan nan [ nan]
46 garray(nan) nan nan [ nan]
47 garray(nan) nan nan [ nan]
48 garray(nan) nan nan [ nan]
49 garray(nan) nan nan [ nan]
50 garray(nan) nan nan [ nan]
51 garray(nan) nan nan [ nan]
52 garray(nan) nan nan [ nan]
53 garray(nan) nan nan [ nan]
54 garray(nan) nan nan [ nan]
55 garray(nan) nan nan [ nan]
56 garray(nan) nan nan [ nan]
57 garray(nan) nan nan [ nan]
58 garray(nan) nan nan [ nan]
59 garray(nan) nan nan [ nan]
60 garray(nan) nan nan [ nan]
61 garray(nan) nan nan [ nan]
62 garray(nan) nan nan [ nan]
63 garray(nan) nan nan [ nan]
64 garray(nan) nan nan [ nan]
65 garray(nan) nan nan [ nan]
66 garray(nan) nan nan [ nan]
67 garray(nan) nan nan [ nan]
68 garray(nan) nan nan [ nan]
69 garray(nan) nan nan [ nan]
70 garray(nan) nan nan [ nan]
71 garray(nan) nan nan [ nan]
72 garray(nan) nan nan [ nan]
73 garray(nan) nan nan [ nan]
74 garray(nan) nan nan [ nan]
75 garray(nan) nan nan [ nan]
76 garray(nan) nan nan [ nan]
77 garray(nan) nan nan [ nan]
78 garray(nan) nan nan [ nan]
79 garray(nan) nan nan [ nan]
80 garray(nan) nan nan [ nan]
81 garray(nan) nan nan [ nan]
82 garray(nan) nan nan [ nan]
83 garray(nan) nan nan [ nan]
84 garray(nan) nan nan [ nan]
85 garray(nan) nan nan [ nan]
86 garray(nan) nan nan [ nan]
87 garray(nan) nan nan [ nan]
88 garray(nan) nan nan [ nan]
89 garray(nan) nan nan [ nan]
90 garray(nan) nan nan [ nan]
91 garray(nan) nan nan [ nan]
