compiled score function
Old best loss
garray(130.62295532226562)
Compiled loss functions
0 127.944473267 130.646560669
1 127.902458191 130.6769104
2 127.812477112 130.637390137
3 127.872245789 130.615615845
4 127.881744385 130.636779785
5 127.8853302 130.659240723
6 127.969779968 130.620742798
7 127.918304443 130.694625854
8 127.923439026 130.656539917
9 127.843482971 130.608047485
10 127.921455383 130.752548218
11 127.952629089 130.723999023
12 127.935974121 130.578765869
13 127.894317627 130.656234741
14 127.924385071 130.613540649
15 127.933616638 130.670776367
16 127.923667908 130.658508301
17 127.946426392 130.640167236
18 127.894233704 130.628128052
19 127.881019592 130.626434326
20 127.8854599 130.693695068
21 127.894699097 130.69090271
22 127.938858032 130.680831909
23 127.755653381 130.61907959
24 127.882667542 130.763427734
25 127.941413879 130.667861938
26 127.844673157 130.759902954
27 127.882705688 130.661315918
28 127.921554565 130.641586304
29 127.840499878 130.627029419
30 127.982467651 130.711685181
31 127.845153809 130.630096436
32 128.021972656 130.658401489
33 127.863929749 130.70715332
34 127.890335083 130.730133057
35 127.832244873 130.647888184
36 127.926773071 130.669036865
37 127.828926086 130.603164673
38 127.81728363 130.578140259
39 127.957580566 130.59854126
40 127.918457031 130.571578979
41 127.919219971 130.592773438
42 127.940910339 130.633789062
43 127.800018311 130.610519409
44 128.000839233 130.742874146
45 127.930488586 130.651153564
46 127.902534485 130.689483643
47 127.847175598 130.72567749
48 127.848129272 130.828765869
49 127.934677124 130.787521362
50 127.903305054 130.737060547
51 127.908866882 130.76789856
52 127.950653076 130.769515991
53 127.877128601 130.748321533
54 127.936386108 130.73274231
55 127.817779541 130.72416687
56 127.916343689 130.800552368
57 127.999389648 130.716629028
58 127.885177612 130.659194946
59 127.84336853 130.657730103
60 127.98235321 130.69758606
61 127.93686676 130.747390747
62 127.870849609 130.769577026
63 127.848594666 130.724014282
64 127.904060364 130.78364563
65 127.982933044 130.790115356
66 127.864959717 130.792663574
67 127.8854599 130.707839966
68 127.955718994 130.837417603
69 127.833839417 130.721191406
70 127.952636719 130.709701538
71 127.873390198 130.773910522
72 128.023696899 130.768325806
73 127.817100525 130.65864563
74 127.945999146 130.655059814
75 127.881996155 130.676361084
76 127.896133423 130.624710083
77 127.847053528 130.647033691
78 127.962799072 130.690795898
79 127.837478638 130.619628906
80 127.914558411 130.645233154
81 127.786514282 130.702804565
82 127.853363037 130.629226685
83 127.985847473 130.675765991
84 127.828025818 130.632080078
85 127.974807739 130.60269165
86 127.86491394 130.598434448
87 127.884239197 130.596725464
88 127.872634888 130.629394531
89 127.921836853 130.613647461
90 127.867538452 130.629165649
91 127.924697876 130.682800293
92 127.908576965 130.636413574
93 127.858360291 130.672485352
94 127.97052002 130.694961548
95 127.883453369 130.619262695
96 127.936309814 130.648651123
97 127.885047913 130.570541382
98 127.92351532 130.604049683
99 127.846725464 130.594451904
100 127.84173584 130.612045288
101 127.873893738 130.63180542
102 127.869499207 130.607574463
103 127.852989197 130.799530029
104 127.89087677 130.73097229
105 127.926368713 130.719741821
106 127.897949219 130.697570801
107 127.872276306 130.688491821
108 127.888717651 130.672714233
109 127.900543213 130.662445068
110 127.955459595 130.650177002
111 127.907447815 130.659500122
112 127.896743774 130.685302734
113 127.915298462 130.68057251
114 127.8565979 130.744796753
115 127.852073669 130.609954834
116 127.943893433 130.747619629
117 127.909454346 130.676864624
118 127.910125732 130.801986694
119 127.852027893 130.678253174
120 127.909599304 130.713745117
121 127.934524536 130.714736938
122 127.932060242 130.679672241
123 127.86378479 130.628341675
124 127.921325684 130.627319336
125 127.962684631 130.648864746
126 127.776947021 130.694702148
127 127.902099609 130.695526123
128 127.903953552 130.661987305
129 127.890609741 130.635742188
130 127.822090149 130.704345703
131 127.902397156 130.642227173
132 127.894203186 130.636703491
133 127.810997009 130.666641235
134 127.902175903 130.666259766
135 127.849304199 130.599319458
136 127.92539978 130.698608398
137 127.907775879 130.673446655
138 127.871658325 130.734161377
139 127.838119507 130.648849487
140 127.80292511 130.713287354
141 127.907829285 130.637619019
142 127.805908203 130.729400635
143 127.751373291 130.702270508
144 127.901939392 130.714401245
145 127.901893616 130.659683228
146 127.875495911 130.711715698
147 127.860046387 130.782165527
148 127.852920532 130.787185669
149 127.832878113 130.682601929
150 127.85773468 130.721939087
151 127.944869995 130.635391235
152 127.953804016 130.612304688
153 127.935974121 130.682556152
154 127.939254761 130.671554565
155 127.840034485 130.672988892
156 127.895256042 130.716583252
157 127.872955322 130.668289185
158 127.895195007 130.675216675
159 127.825508118 130.705703735
160 127.835403442 130.674026489
161 127.871116638 130.647659302
162 127.915466309 130.602828979
163 127.882080078 130.685089111
164 127.836654663 130.650253296
165 127.841758728 130.622665405
166 127.822753906 130.742141724
167 127.824615479 130.72567749
168 127.832397461 130.684158325
169 127.786598206 130.718902588
170 127.88609314 130.704376221
171 127.902618408 130.73890686
172 127.894889832 130.740127563
173 127.77671814 130.789077759
174 127.837646484 130.744750977
175 127.833763123 130.790313721
176 127.858726501 130.778839111
177 127.848930359 130.838851929
178 127.829544067 130.721252441
179 127.929595947 130.778579712
180 127.830986023 130.804489136
181 127.888824463 130.761642456
182 127.83921051 130.757232666
183 127.834640503 130.743225098
184 127.884925842 130.756103516
185 127.858917236 130.707611084
186 127.879508972 130.804214478
187 127.831459045 130.783889771
188 127.864028931 130.826721191
189 127.871635437 130.798950195
190 127.879943848 130.840423584
191 127.846229553 130.827270508
192 127.884300232 130.746795654
193 127.959594727 130.789306641
194 127.856315613 130.791763306
195 127.823425293 130.735961914
196 127.872810364 130.776245117
197 127.81829834 130.744064331
198 127.881896973 130.757125854
199 127.916168213 130.779144287
200 127.854347229 130.676635742
201 127.837799072 130.684127808
202 127.973045349 130.749694824
203 127.85760498 130.739517212
204 127.956924438 130.689956665
205 127.841964722 130.744689941
206 127.848495483 130.755493164
207 127.769035339 130.718414307
208 127.923828125 130.7681427
209 127.847229004 130.642852783
210 127.842636108 130.736053467
211 127.803573608 130.69569397
212 127.869117737 130.759216309
213 127.854728699 130.718643188
214 127.83568573 130.691268921
215 127.897880554 130.63722229
216 127.912063599 130.718688965
217 127.930778503 130.665512085
218 127.925819397 130.698318481
219 127.828948975 130.618041992
220 127.844596863 130.678146362
221 127.849113464 130.594177246
222 127.921539307 130.698410034
223 127.816833496 130.652374268
224 127.932144165 130.640609741
225 127.786384583 130.569396973
226 127.891136169 130.620910645
227 127.849967957 130.629745483
228 127.892990112 130.688232422
229 127.839378357 130.634887695
230 127.912384033 130.657348633
231 127.851959229 130.605758667
232 127.884628296 130.642669678
233 127.911598206 130.665298462
234 127.920768738 130.593688965
235 127.789176941 130.575942993
236 127.901924133 130.649749756
237 127.874176025 130.658569336
238 127.836296082 130.594100952
239 127.82068634 130.627746582
240 127.860847473 130.574905396
241 127.865745544 130.647140503
242 127.817657471 130.620666504
243 127.86870575 130.687774658
244 127.722389221 130.654815674
245 127.781356812 130.701034546
246 127.825393677 130.807800293
247 127.835968018 130.766769409
248 127.840995789 130.712463379
249 127.847236633 130.776748657
250 127.780677795 130.701675415
251 127.826210022 130.624038696
252 127.881546021 130.645950317
253 127.855369568 130.682937622
254 127.826004028 130.680709839
255 127.829208374 130.739746094
256 127.789344788 130.708190918
257 127.781776428 130.613067627
258 127.832855225 130.710998535
259 127.809577942 130.675323486
260 127.82736969 130.705184937
261 127.812294006 130.679519653
262 127.82976532 130.814758301
263 127.866485596 130.705123901
264 127.818115234 130.752731323
265 127.796783447 130.677978516
266 127.867469788 130.722229004
267 127.899185181 130.734161377
268 127.824996948 130.701965332
269 127.827789307 130.767868042
270 127.848556519 130.721633911
271 127.804885864 130.703491211
272 127.769706726 130.667495728
273 127.85609436 130.682983398
274 127.888908386 130.660858154
275 127.750183105 130.695907593
276 127.901344299 130.677841187
277 127.839073181 130.692703247
278 127.836517334 130.712753296
279 127.813995361 130.691436768
280 127.887817383 130.638977051
281 127.729423523 130.724578857
282 127.852470398 130.708816528
283 127.848197937 130.689804077
284 127.857063293 130.781021118
285 127.901847839 130.704864502
286 127.81855011 130.705291748
287 127.835098267 130.680419922
288 127.825233459 130.701065063
289 127.867256165 130.621078491
290 127.870826721 130.716766357
291 127.901817322 130.63470459
292 127.806938171 130.705383301
293 127.820678711 130.66192627
294 127.780197144 130.677764893
295 127.887489319 130.61630249
296 127.84563446 130.725128174
297 127.81211853 130.69329834
298 127.8695755 130.768768311
299 127.75226593 130.734039307
300 127.796104431 130.748291016
301 127.896484375 130.754669189
302 127.83807373 130.648849487
303 127.900688171 130.655166626
304 127.88053894 130.751586914
305 127.938018799 130.665405273
306 127.80039978 130.727966309
307 127.850616455 130.726501465
308 127.793968201 130.708877563
309 127.884346008 130.733062744
310 127.8490448 130.742843628
311 127.853805542 130.760971069
312 127.812149048 130.730102539
313 127.818519592 130.631958008
314 127.928344727 130.721786499
315 127.815795898 130.676818848
316 127.814468384 130.634002686
317 127.817848206 130.672698975
318 127.818687439 130.744308472
319 127.87865448 130.830001831
320 127.804199219 130.720367432
321 127.823509216 130.712844849
322 127.841537476 130.77053833
323 127.746055603 130.751220703
324 127.904930115 130.731536865
325 127.821937561 130.679260254
326 127.870117188 130.711898804
327 127.838127136 130.640426636
328 127.790855408 130.658233643
329 127.803649902 130.596069336
330 127.82019043 130.655502319
331 127.850166321 130.690063477
332 127.8048172 130.638412476
333 127.844314575 130.643844604
334 127.855583191 130.628265381
335 127.858978271 130.669464111
336 127.871330261 130.698654175
337 127.858528137 130.622634888
338 127.890975952 130.5730896
339 127.900009155 130.638839722
340 127.870315552 130.678497314
341 127.829803467 130.609039307
342 127.846763611 130.612030029
343 127.882385254 130.571517944
344 127.779968262 130.673980713
345 127.806564331 130.660263062
346 127.843383789 130.516799927
347 127.851860046 130.575241089
348 127.838294983 130.658981323
349 127.808746338 130.579269409
350 127.78427887 130.572814941
351 127.812973022 130.656860352
352 127.845169067 130.679229736
353 127.805648804 130.705749512
354 127.82232666 130.7081604
355 127.893257141 130.670333862
356 127.825469971 130.637481689
357 127.889335632 130.637878418
358 127.837860107 130.70930481
359 127.883979797 130.697601318
360 127.792068481 130.661026001
361 127.882026672 130.64944458
362 127.86655426 130.656585693
363 127.808006287 130.646957397
364 127.885177612 130.685897827
365 127.855186462 130.668716431
366 127.81942749 130.649841309
367 128.008911133 130.619979858
368 127.946128845 130.642349243
369 127.878707886 130.60218811
370 127.815155029 130.63734436
371 127.769348145 130.639022827
372 127.889343262 130.652374268
373 127.854568481 130.635955811
374 127.851890564 130.695999146
375 127.859687805 130.59664917
376 127.845527649 130.608520508
377 127.814178467 130.619003296
378 127.858848572 130.571807861
379 127.850845337 130.560562134
380 127.78691864 130.612365723
381 127.841827393 130.670684814
382 127.837623596 130.617599487
383 127.709846497 130.588943481
384 127.850326538 130.590148926
385 127.890167236 130.612365723
386 127.774909973 130.573486328
387 127.853515625 130.555770874
388 127.767356873 130.556091309
389 127.766723633 130.643432617
390 127.882469177 130.569824219
391 127.801544189 130.602828979
392 127.814567566 130.594650269
393 127.864837646 130.608322144
394 127.753189087 130.561553955
395 127.775817871 130.583740234
396 127.784385681 130.664413452
397 127.9165802 130.641525269
398 127.828186035 130.53894043
399 127.857513428 130.524353027
400 127.8020401 130.609832764
401 127.863449097 130.587081909
402 127.824615479 130.649246216
403 127.876586914 130.670166016
404 127.827583313 130.687316895
405 127.831329346 130.703094482
406 127.860107422 130.667129517
407 127.856925964 130.643264771
408 127.781707764 130.666152954
409 127.806259155 130.629669189
410 127.81451416 130.601516724
411 127.768104553 130.63899231
412 127.90296936 130.604217529
413 127.831970215 130.613861084
414 127.782836914 130.627960205
415 127.925949097 130.60975647
416 127.883094788 130.610977173
417 127.85660553 130.577697754
418 127.803466797 130.644866943
419 127.881256104 130.604095459
420 127.799575806 130.503997803
421 127.865653992 130.639541626
422 127.80443573 130.59526062
423 127.786346436 130.635284424
424 127.831085205 130.711273193
425 127.783126831 130.599212646
426 127.850799561 130.685531616
427 127.855796814 130.624481201
428 127.848953247 130.673141479
429 127.858306885 130.62802124
430 127.878433228 130.663299561
431 127.859733582 130.624099731
432 127.823448181 130.640182495
433 127.887893677 130.622894287
434 127.81427002 130.612503052
435 127.858924866 130.675186157
436 127.807418823 130.608200073
437 127.884277344 130.592773438
438 127.814498901 130.592102051
439 127.836448669 130.529769897
440 127.79876709 130.646987915
441 127.920288086 130.681854248
442 127.838287354 130.731491089
443 127.820808411 130.674804688
444 127.783607483 130.716156006
445 127.845344543 130.680389404
446 127.89515686 130.658966064
447 127.849525452 130.690475464
448 127.890304565 130.786499023
449 127.788154602 130.710037231
450 127.87046051 130.687850952
451 127.77759552 130.715087891
452 127.812149048 130.646591187
453 127.86882782 130.695953369
454 127.851623535 130.631072998
455 127.834396362 130.691925049
456 127.859909058 130.688781738
457 127.862129211 130.600814819
458 127.81401825 130.695877075
459 127.867645264 130.662261963
460 127.922058105 130.70362854
461 127.919616699 130.679458618
462 127.877685547 130.752502441
463 127.848930359 130.689575195
464 127.934280396 130.721847534
465 127.827064514 130.68157959
466 127.717483521 130.616500854
467 127.862358093 130.715148926
468 127.755836487 130.703994751
469 127.810134888 130.767089844
470 127.834144592 130.732315063
471 127.849822998 130.694351196
472 127.860908508 130.641586304
473 127.80329895 130.672973633
474 127.844734192 130.614044189
475 127.836196899 130.598571777
476 127.85370636 130.58795166
477 127.848007202 130.607330322
478 127.870300293 130.653289795
479 127.91129303 130.596115112
480 127.857818604 130.650482178
481 127.798744202 130.623657227
482 127.822906494 130.691223145
483 127.776123047 130.64201355
484 127.764709473 130.656204224
485 127.812736511 130.664367676
486 127.843727112 130.651153564
487 127.82774353 130.596313477
488 127.906967163 130.568328857
489 127.891387939 130.592651367
490 127.787025452 130.595306396
491 127.860877991 130.602722168
492 127.913024902 130.658737183
493 127.799835205 130.660552979
494 127.852325439 130.67427063
495 127.835723877 130.673690796
496 127.863586426 130.63168335
497 127.809394836 130.684555054
498 127.94519043 130.665054321
499 127.906227112 130.641937256
500 127.820129395 130.631454468
501 127.785499573 130.636352539
502 127.889923096 130.679336548
503 127.850196838 130.665878296
504 127.796226501 130.655227661
505 127.856208801 130.618942261
506 127.793228149 130.654174805
507 127.912658691 130.691726685
508 127.819046021 130.682357788
509 127.866844177 130.756958008
510 127.85861969 130.642120361
511 127.771995544 130.650848389
512 127.849098206 130.600265503
513 127.815910339 130.610794067
514 127.794998169 130.646728516
515 127.838577271 130.701919556
516 127.796173096 130.702728271
517 127.799346924 130.606704712
518 127.834487915 130.622329712
519 127.857887268 130.684173584
520 127.814590454 130.620544434
521 127.826019287 130.624908447
522 127.722236633 130.654281616
523 127.824859619 130.691635132
524 127.837715149 130.664321899
525 127.81073761 130.672775269
526 127.836997986 130.624252319
527 127.898124695 130.704971313
528 127.811225891 130.728408813
529 127.851158142 130.679077148
530 127.78527832 130.683578491
531 127.797538757 130.649887085
532 127.834968567 130.736862183
533 127.871932983 130.725097656
534 127.81816864 130.682983398
535 127.834465027 130.706161499
536 127.774917603 130.740844727
537 127.797309875 130.812728882
538 127.875259399 130.748062134
539 127.846855164 130.815551758
540 127.778587341 130.827148438
541 127.76675415 130.774581909
542 127.778144836 130.822998047
543 127.805259705 130.763748169
544 127.832870483 130.767929077
545 127.878097534 130.776489258
546 127.825714111 130.789855957
547 127.898643494 130.750946045
548 127.879226685 130.718231201
549 127.789855957 130.754348755
550 127.800018311 130.699066162
551 127.788276672 130.618225098
552 127.84197998 130.65057373
553 127.868003845 130.683822632
554 127.867889404 130.781738281
555 127.86428833 130.679962158
556 127.907714844 130.673660278
557 127.791160583 130.739929199
558 127.817253113 130.740966797
559 127.828056335 130.634963989
560 127.850257874 130.727798462
561 127.817497253 130.698532104
562 127.861747742 130.680252075
563 127.927703857 130.704727173
564 127.876777649 130.682952881
565 127.844779968 130.721038818
566 127.869033813 130.619094849
567 127.864318848 130.666641235
568 127.84375 130.635192871
569 127.859695435 130.652740479
570 127.822814941 130.746551514
571 127.815246582 130.709289551
572 127.799697876 130.700653076
573 127.875228882 130.646942139
574 127.802688599 130.691879272
575 127.844177246 130.688674927
576 127.89831543 130.643127441
577 127.829696655 130.6615448
578 127.842590332 130.647125244
579 127.889755249 130.64666748
580 127.868164062 130.663299561
581 127.840377808 130.613754272
582 127.789093018 130.639770508
583 127.825569153 130.673583984
584 127.85370636 130.689483643
585 127.729278564 130.66998291
586 127.863937378 130.69909668
587 127.77204895 130.802597046
588 127.861328125 130.774780273
589 127.808494568 130.694488525
590 127.836090088 130.727828979
591 127.821304321 130.790786743
592 127.877593994 130.680465698
593 127.836387634 130.673599243
594 127.768959045 130.69392395
595 127.82975769 130.715316772
596 127.878959656 130.6534729
597 127.800765991 130.700149536
598 127.818954468 130.690246582
599 127.860107422 130.659790039
600 127.83417511 130.710571289
601 127.837860107 130.841842651
602 127.901496887 130.777084351
603 127.742118835 130.776809692
604 127.922515869 130.789428711
605 127.849716187 130.752502441
606 127.814155579 130.689559937
607 127.900695801 130.787384033
608 127.832633972 130.748428345
609 127.780548096 130.711898804
610 127.865585327 130.681259155
611 127.832015991 130.598800659
612 127.775756836 130.623916626
613 127.818817139 130.622970581
614 127.757118225 130.660125732
615 127.885658264 130.659439087
616 127.812667847 130.700164795
617 127.791557312 130.700088501
618 127.7657547 130.702102661
619 127.789466858 130.762237549
620 127.864990234 130.716522217
621 127.860954285 130.706695557
622 127.802375793 130.630996704
623 127.802574158 130.663162231
624 127.796867371 130.702590942
625 127.809829712 130.625106812
626 127.795326233 130.639312744
627 127.779640198 130.668151855
628 127.923500061 130.589569092
629 127.858406067 130.579772949
630 127.853744507 130.621765137
631 127.780136108 130.671966553
632 127.786514282 130.683013916
633 127.842544556 130.665878296
634 127.784118652 130.744369507
635 127.781219482 130.714813232
636 127.751983643 130.687286377
637 127.747146606 130.634674072
638 127.829338074 130.625137329
639 127.790527344 130.643539429
640 127.766815186 130.62159729
641 127.829597473 130.662078857
642 127.870254517 130.682632446
643 127.907173157 130.575378418
644 127.885307312 130.693054199
645 127.888023376 130.795455933
646 127.760848999 130.668365479
647 127.739334106 130.671478271
648 127.867935181 130.699691772
649 127.869873047 130.680252075
650 127.886703491 130.712677002
651 127.863098145 130.628845215
652 127.872123718 130.603866577
653 127.870727539 130.627655029
654 127.784454346 130.750732422
655 127.696578979 130.649703979
656 127.707359314 130.734939575
657 127.774597168 130.732086182
658 127.802528381 130.798965454
659 127.73865509 130.766616821
660 127.888710022 130.786102295
661 127.867584229 130.755554199
662 127.812423706 130.808425903
663 127.805473328 130.67666626
664 127.823249817 130.681427002
665 127.869384766 130.588317871
666 127.788314819 130.66027832
667 127.842559814 130.662506104
668 127.807060242 130.704772949
669 127.839263916 130.724533081
670 127.884048462 130.714508057
671 127.791366577 130.737228394
672 127.800216675 130.630096436
673 127.816307068 130.620986938
674 127.75528717 130.568084717
675 127.841186523 130.628295898
676 127.85345459 130.613830566
677 127.860588074 130.641586304
678 127.777938843 130.667877197
679 127.85382843 130.636886597
680 127.86290741 130.560470581
681 127.770805359 130.506271362
682 127.756439209 130.579040527
683 127.827438354 130.554107666
684 127.801933289 130.51864624
685 127.766494751 130.628540039
686 127.790763855 130.604827881
687 127.790245056 130.607070923
688 127.763969421 130.691726685
689 127.898674011 130.605438232
690 127.833068848 130.59526062
691 127.771568298 130.663650513
692 127.772140503 130.705200195
693 127.867126465 130.645645142
694 127.784675598 130.647064209
695 127.877868652 130.672027588
696 127.795722961 130.711044312
697 127.815536499 130.686889648
698 127.77482605 130.714050293
699 127.799247742 130.709747314
700 127.751464844 130.663497925
701 127.836868286 130.679946899
702 127.724822998 130.728759766
703 127.785926819 130.712219238
704 127.751296997 130.66885376
705 127.87978363 130.682739258
706 127.844009399 130.67276001
707 127.778327942 130.711761475
708 127.771827698 130.721405029
709 127.741920471 130.675689697
710 127.767936707 130.718566895
711 127.771018982 130.660614014
