compiled score function
Old best loss
garray(93.54653930664062)
Compiled loss functions
0 92.1832885742 93.4254074097
1 92.2301254272 93.4803466797
2 92.2464752197 93.486076355
3 92.213218689 93.4153060913
4 92.3622207642 93.4907836914
5 92.2706756592 93.4894256592
6 92.2553405762 93.412147522
7 92.2784042358 93.3936691284
8 92.238861084 93.5325622559
9 92.2830963135 93.4981307983
10 92.2863388062 93.4837188721
11 92.2641677856 93.5316848755
12 92.2503356934 93.4694595337
13 92.2751541138 93.4810333252
14 92.2973098755 93.4451751709
15 92.2933044434 93.5286560059
16 92.2079162598 93.4133758545
17 92.2272644043 93.4717102051
18 92.2506866455 93.4845199585
19 92.2886657715 93.5059204102
20 92.2549209595 93.4548950195
21 92.3023986816 93.5565872192
22 92.2475967407 93.4898757935
23 92.3155059814 93.5397262573
24 92.2640838623 93.5235443115
25 92.2773895264 93.4769287109
26 92.229095459 93.507194519
27 92.2808456421 93.4621200562
28 92.2510375977 93.4601364136
29 92.2186050415 93.473815918
30 92.2215957642 93.4025268555
31 92.2556762695 93.4657440186
32 92.1656112671 93.4700012207
33 92.2790756226 93.5419616699
34 92.2534561157 93.435585022
35 92.2696685791 93.3926467896
36 92.2158203125 93.5393066406
37 92.2241287231 93.4804000854
38 92.2949981689 93.4771347046
39 92.2487411499 93.4939193726
40 92.222328186 93.4804840088
41 92.2503585815 93.4748382568
42 92.2800979614 93.4755783081
43 92.2444839478 93.4704437256
44 92.2855606079 93.4479675293
45 92.2812576294 93.4787216187
46 92.3058547974 93.4813461304
47 92.2527313232 93.493888855
48 92.2762985229 93.3902206421
49 92.2632141113 93.5260391235
50 92.2317352295 93.5138778687
51 92.2707214355 93.4063720703
52 92.2269973755 93.5099868774
53 92.2214584351 93.5511474609
54 92.2633209229 93.492149353
55 92.2361984253 93.4941940308
56 92.293838501 93.4732055664
57 92.2939147949 93.3952560425
58 92.2014541626 93.5221328735
59 92.256980896 93.4990615845
60 92.2288589478 93.4698028564
61 92.1749343872 93.4686203003
62 92.2614364624 93.5601348877
63 92.2001190186 93.4858398438
64 92.1983947754 93.4173965454
65 92.2501296997 93.4149856567
66 92.2919464111 93.4211654663
67 92.2787857056 93.5237731934
68 92.150718689 93.4931564331
69 92.1973114014 93.4894790649
70 92.3375549316 93.480796814
71 92.2678375244 93.448348999
72 92.1853103638 93.5116653442
73 92.2626342773 93.4740371704
74 92.3171386719 93.4572525024
75 92.2905883789 93.4558105469
76 92.1914367676 93.4675827026
77 92.2795791626 93.4597854614
78 92.2297363281 93.4998245239
79 92.2901763916 93.460975647
80 92.255821228 93.5077133179
81 92.2344894409 93.3426132202
82 92.2712097168 93.405921936
83 92.2290802002 93.4663696289
84 92.226776123 93.4767684937
85 92.2878799438 93.489074707
86 92.265625 93.4406356812
87 92.2483596802 93.4562149048
88 92.2978973389 93.4012069702
89 92.1938552856 93.4505004883
90 92.324798584 93.4670257568
91 92.2173156738 93.4926071167
92 92.2176589966 93.4947738647
93 92.2141799927 93.3821792603
94 92.2397460938 93.4376068115
95 92.2228469849 93.4788131714
96 92.243637085 93.4456253052
97 92.2426376343 93.4346008301
98 92.2403945923 93.4493255615
