compiled score function
Old best loss
garray(94.72926330566406)
Compiled loss functions
0 93.4129180908 94.7148742676
1 93.4744110107 94.7240753174
2 93.4950942993 94.7299575806
3 93.4071960449 94.7729949951
4 93.5110092163 94.7789382935
5 93.4234848022 94.7260971069
6 93.4507904053 94.7874832153
7 93.4327163696 94.703956604
8 93.4179611206 94.7742996216
9 93.4789657593 94.727973938
10 93.4127349854 94.6920852661
11 93.4414978027 94.7139511108
12 93.3935775757 94.6685638428
13 93.4783554077 94.7882232666
14 93.4217681885 94.6837234497
15 93.4605407715 94.6861572266
16 93.4475784302 94.7417373657
17 93.4327392578 94.7453079224
18 93.3837203979 94.6821975708
19 93.4180145264 94.6610717773
20 93.4016189575 94.7344818115
21 93.4996795654 94.729057312
22 93.4787139893 94.6597442627
23 93.4796905518 94.7153320312
24 93.4273605347 94.6861190796
25 93.4519500732 94.794090271
26 93.3640899658 94.7263717651
27 93.4873809814 94.6852111816
28 93.4332504272 94.7209701538
29 93.3768386841 94.6685256958
30 93.4131774902 94.7696456909
31 93.4379196167 94.7364501953
32 93.3539047241 94.6858901978
33 93.4209976196 94.7207260132
34 93.3942642212 94.6845550537
35 93.4243774414 94.7192459106
36 93.4350662231 94.6742095947
37 93.4344940186 94.7812271118
38 93.4853591919 94.6950683594
39 93.3984985352 94.6966323853
40 93.3705978394 94.7327957153
41 93.3416061401 94.6942367554
42 93.4462203979 94.7422103882
43 93.4345474243 94.7268371582
44 93.4459381104 94.677406311
45 93.4284286499 94.717956543
46 93.4644851685 94.7601318359
47 93.3686752319 94.6924285889
48 93.4799880981 94.678352356
49 93.4729766846 94.6965637207
50 93.4029693604 94.6808853149
51 93.4247283936 94.7355194092
52 93.4080352783 94.7857131958
53 93.4157791138 94.6997070312
54 93.4828338623 94.8061981201
55 93.3799591064 94.7023239136
56 93.4235610962 94.6949081421
57 93.4350585938 94.6437759399
58 93.423500061 94.6238250732
59 93.4478607178 94.7101974487
60 93.3862075806 94.7151260376
61 93.4013214111 94.7499313354
62 93.3725738525 94.674369812
63 93.425201416 94.7093734741
64 93.3733673096 94.6639938354
65 93.3791503906 94.7072982788
66 93.4174575806 94.6540756226
67 93.4402542114 94.7486953735
68 93.4208602905 94.7301330566
69 93.3696670532 94.6484451294
70 93.4362258911 94.6475982666
71 93.3885269165 94.6868591309
72 93.3464813232 94.6789169312
73 93.4119796753 94.7077407837
74 93.4537811279 94.7364959717
75 93.4150543213 94.6954879761
76 93.3233947754 94.7223510742
77 93.3589096069 94.7016220093
78 93.3356552124 94.6610641479
79 93.4046173096 94.7246322632
80 93.3891601562 94.7366943359
