compiled score function
Old best loss
garray(105.76451873779297)
Compiled loss functions
0 105.376335144 105.720397949
1 105.4375 105.739982605
2 105.402236938 105.682662964
3 105.321220398 105.614082336
4 105.439826965 105.699920654
5 105.312744141 105.604484558
6 105.319084167 105.56728363
7 105.271324158 105.531394958
8 105.259170532 105.580421448
9 105.234550476 105.526000977
10 105.218093872 105.467857361
11 105.234893799 105.553756714
12 105.187446594 105.515060425
13 105.284309387 105.533569336
14 105.145179749 105.367050171
15 105.12210083 105.399436951
16 105.081504822 105.449775696
17 105.058837891 105.283172607
18 105.007339478 105.358123779
19 104.998947144 105.307273865
20 105.003814697 105.321037292
21 104.968940735 105.33379364
22 105.023078918 105.271621704
23 104.922538757 105.359458923
24 104.992454529 105.174247742
25 104.899627686 105.172523499
26 104.892448425 105.24004364
27 104.836776733 105.232063293
28 104.9063797 105.207572937
29 104.755683899 105.085319519
30 104.786880493 105.105285645
31 104.760559082 105.011360168
32 104.722839355 104.975624084
33 104.741760254 105.044837952
34 104.703399658 105.090232849
35 104.698989868 105.101974487
36 104.596420288 104.917457581
37 104.662216187 104.964424133
38 104.692131042 104.856231689
39 104.606796265 104.881271362
40 104.568878174 104.940948486
41 104.534385681 104.820709229
42 104.550094604 104.869346619
43 104.553314209 104.863174438
44 104.601097107 104.809555054
45 104.561859131 104.774642944
46 104.527656555 104.729049683
47 104.477409363 104.796112061
48 104.44883728 104.721710205
49 104.428840637 104.676620483
50 104.452278137 104.753921509
51 104.391548157 104.650665283
52 104.329574585 104.695220947
53 104.327697754 104.620292664
54 104.350257874 104.690383911
55 104.287376404 104.611434937
56 104.327629089 104.659248352
57 104.324684143 104.56438446
58 104.28944397 104.57484436
59 104.274787903 104.619659424
60 104.234359741 104.564163208
61 104.122886658 104.507637024
62 104.179847717 104.433654785
63 104.123138428 104.462844849
64 104.133377075 104.521957397
65 104.094177246 104.465995789
66 104.111297607 104.46799469
67 104.107521057 104.392875671
68 104.074867249 104.35408783
69 104.016700745 104.351013184
70 104.048156738 104.360450745
71 104.04233551 104.371292114
72 103.912513733 104.312194824
73 104.035369873 104.311676025
74 104.018966675 104.300926208
75 103.98790741 104.285263062
76 103.876243591 104.23475647
77 103.944419861 104.282569885
78 103.932853699 104.24230957
79 103.949630737 104.184394836
80 103.938690186 104.262924194
81 103.850875854 104.175613403
82 103.835594177 104.201202393
83 103.835617065 104.053062439
84 103.869659424 104.184211731
85 103.849578857 104.143501282
86 103.754875183 104.10370636
87 103.796394348 104.103439331
88 103.87071991 104.078330994
89 103.674079895 104.054862976
90 103.770713806 104.039596558
91 103.743339539 104.01738739
92 103.696754456 104.009384155
93 103.637001038 103.995994568
94 103.675987244 104.008781433
95 103.625358582 103.953109741
96 103.639137268 103.932037354
97 103.672180176 103.946983337
98 103.625930786 103.905609131
99 103.59046936 103.902282715
100 103.513946533 103.809555054
101 103.565505981 103.880432129
102 103.480125427 103.903793335
103 103.590446472 103.914619446
104 103.521148682 103.838439941
105 103.457176208 103.905487061
106 103.531616211 103.807846069
107 103.459259033 103.796913147
108 103.477638245 103.836669922
109 103.440185547 103.791572571
110 103.387374878 103.723556519
111 103.373603821 103.737106323
112 103.380958557 103.74357605
113 103.458953857 103.714370728
114 103.412055969 103.84197998
115 103.414680481 103.745445251
116 103.362831116 103.784851074
117 103.376144409 103.691635132
118 103.349075317 103.604698181
119 103.310020447 103.599952698
120 103.219116211 103.659118652
121 103.296058655 103.663543701
122 103.333000183 103.680618286
123 103.286567688 103.614295959
124 103.290901184 103.541931152
125 103.171424866 103.553459167
126 103.259819031 103.520080566
127 103.188140869 103.575874329
128 103.185920715 103.543121338
129 103.219856262 103.540931702
130 103.16267395 103.442764282
131 103.207298279 103.461181641
132 103.192680359 103.553237915
133 103.130508423 103.547187805
134 103.105300903 103.433563232
135 103.053337097 103.356452942
136 103.041549683 103.400527954
137 103.15296936 103.474464417
138 103.149406433 103.368682861
139 103.019439697 103.413619995
140 103.048561096 103.364601135
141 103.033576965 103.258682251
142 103.064460754 103.379226685
143 103.092285156 103.400657654
144 102.950775146 103.294837952
145 102.939300537 103.330581665
146 102.964134216 103.298690796
147 102.939041138 103.24281311
148 102.921516418 103.329093933
149 102.959609985 103.307800293
150 102.945335388 103.245056152
151 103.009017944 103.287612915
152 102.807640076 103.164833069
153 102.887695312 103.221237183
154 102.889839172 103.175544739
155 102.900299072 103.190193176
156 102.846343994 103.198608398
157 102.842964172 103.186248779
158 102.786384583 103.192581177
159 102.808914185 103.203956604
160 102.805839539 103.085510254
161 102.823455811 103.164764404
162 102.720680237 103.103340149
163 102.823165894 103.168426514
164 102.746559143 103.104225159
165 102.74697113 103.161888123
166 102.750160217 103.115249634
167 102.744857788 103.063369751
168 102.686347961 103.004348755
169 102.722335815 102.968681335
170 102.665519714 103.021110535
171 102.638954163 103.014968872
172 102.629600525 103.044219971
173 102.661758423 103.058486938
174 102.579856873 103.026634216
175 102.644340515 102.949111938
176 102.554161072 102.946800232
177 102.62902832 102.99105835
178 102.523399353 102.940658569
179 102.526618958 102.8804245
180 102.565376282 102.918525696
181 102.520675659 102.840652466
182 102.592758179 102.956130981
183 102.537086487 102.919532776
184 102.558006287 102.861785889
185 102.561134338 102.869590759
186 102.52696991 102.830856323
187 102.4426651 102.864082336
188 102.448600769 102.877571106
189 102.441795349 102.785171509
190 102.430000305 102.86907959
191 102.507118225 102.814750671
192 102.462234497 102.718444824
193 102.402656555 102.782203674
194 102.377616882 102.841552734
195 102.380989075 102.751121521
196 102.469909668 102.839019775
197 102.364189148 102.714027405
198 102.489379883 102.77091217
199 102.348899841 102.718955994
200 102.376205444 102.604278564
201 102.390167236 102.747261047
202 102.295059204 102.735282898
203 102.383026123 102.752998352
204 102.237174988 102.670890808
205 102.31287384 102.684234619
206 102.313896179 102.720619202
207 102.248458862 102.692276001
208 102.2631073 102.643508911
209 102.235580444 102.686546326
210 102.277557373 102.659439087
211 102.24131012 102.570922852
212 102.265319824 102.582221985
213 102.222694397 102.576774597
214 102.241836548 102.635185242
215 102.170936584 102.582481384
216 102.156059265 102.550636292
217 102.178146362 102.596549988
218 102.138748169 102.479469299
219 102.196205139 102.434150696
220 102.171424866 102.56124115
221 102.210174561 102.521125793
222 102.062866211 102.534584045
223 102.118438721 102.453544617
224 102.136955261 102.534706116
225 102.114875793 102.413764954
226 102.079071045 102.485122681
227 102.063499451 102.481071472
228 102.105438232 102.52721405
229 102.061935425 102.456169128
230 102.010688782 102.399276733
231 102.016197205 102.444839478
232 102.085723877 102.416236877
233 102.033096313 102.354362488
234 102.04133606 102.360900879
235 102.045974731 102.321166992
236 101.949508667 102.398246765
237 102.005477905 102.494522095
238 101.952735901 102.361572266
239 101.958717346 102.206245422
240 101.979034424 102.356170654
241 101.979736328 102.418769836
242 101.865760803 102.3099823
243 101.919815063 102.300140381
244 101.930717468 102.283607483
245 101.952774048 102.366348267
246 101.824478149 102.316581726
247 101.84009552 102.286270142
248 101.928695679 102.296730042
249 101.883918762 102.240333557
250 101.915260315 102.280700684
251 101.943389893 102.233299255
252 101.845115662 102.193725586
253 101.852294922 102.294303894
254 101.844184875 102.203826904
255 101.897209167 102.277297974
256 101.861305237 102.215202332
257 101.833755493 102.203315735
258 101.818977356 102.179832458
259 101.742256165 102.151000977
260 101.852027893 102.244781494
261 101.752799988 102.109603882
262 101.870948792 102.24747467
263 101.745315552 102.083969116
264 101.75276947 102.131507874
265 101.698875427 102.15827179
266 101.780754089 102.187950134
267 101.744529724 102.007957458
268 101.738700867 102.047569275
269 101.705177307 102.084022522
270 101.719314575 102.089370728
271 101.675666809 102.073783875
272 101.709869385 102.138671875
273 101.627464294 102.044792175
274 101.744659424 102.098022461
275 101.685920715 102.027702332
276 101.634788513 102.078971863
277 101.713165283 102.065536499
278 101.681526184 102.061218262
279 101.667556763 102.018280029
280 101.619239807 102.014663696
281 101.617019653 102.03212738
282 101.568656921 101.934898376
283 101.653594971 101.934936523
284 101.6147995 101.924507141
285 101.58769989 102.023887634
286 101.613716125 102.009918213
287 101.583839417 101.975028992
288 101.559860229 101.906044006
289 101.621566772 102.043960571
290 101.60622406 102.010139465
291 101.560874939 101.987854004
292 101.52003479 101.911819458
293 101.575737 101.89704895
294 101.491500854 102.000015259
295 101.524993896 102.005187988
296 101.495445251 101.8412323
297 101.561836243 101.921325684
298 101.582138062 101.904556274
299 101.51348114 101.836303711
300 101.482009888 101.886825562
301 101.429901123 101.908996582
302 101.413208008 101.818611145
303 101.448478699 101.849441528
304 101.391334534 101.823013306
305 101.478729248 101.901535034
306 101.427604675 101.829048157
307 101.466690063 101.956260681
308 101.366661072 101.774581909
309 101.423370361 101.775764465
310 101.436286926 101.799301147
311 101.429954529 101.799507141
312 101.377571106 101.892562866
313 101.422317505 101.769180298
314 101.361351013 101.708503723
315 101.406578064 101.820358276
316 101.33102417 101.710823059
317 101.343978882 101.674880981
318 101.32434845 101.761405945
319 101.316268921 101.677864075
320 101.325500488 101.793556213
321 101.366989136 101.808731079
322 101.386619568 101.720787048
323 101.322349548 101.681877136
324 101.297035217 101.651939392
325 101.256507874 101.636421204
326 101.290634155 101.781936646
327 101.225059509 101.691574097
328 101.278205872 101.77620697
329 101.287895203 101.658294678
330 101.279167175 101.644699097
331 101.163665771 101.656082153
332 101.298599243 101.584869385
333 101.300338745 101.711738586
334 101.23299408 101.633331299
335 101.264961243 101.616912842
336 101.266677856 101.647506714
337 101.238876343 101.589706421
338 101.155204773 101.639663696
339 101.191505432 101.509689331
340 101.146560669 101.54574585
341 101.137130737 101.636276245
342 101.136535645 101.510055542
343 101.14717865 101.670669556
344 101.211013794 101.752555847
345 101.1614151 101.480995178
346 101.223007202 101.564346313
347 101.094955444 101.521385193
348 101.168357849 101.577682495
349 101.138275146 101.585769653
350 101.156318665 101.52217865
351 101.173866272 101.547462463
352 101.159126282 101.678749084
353 101.07006073 101.440437317
354 101.066604614 101.569137573
355 101.130889893 101.590415955
356 101.120559692 101.494056702
357 101.030006409 101.482673645
358 101.092338562 101.489120483
359 101.05909729 101.453933716
360 101.07434845 101.50138092
361 101.027175903 101.422950745
362 101.02355957 101.357666016
363 101.084831238 101.424713135
364 101.044555664 101.429504395
365 101.061515808 101.420394897
366 101.047348022 101.513092041
367 101.031570435 101.518722534
368 100.989944458 101.45136261
369 100.992767334 101.3983078
370 100.9921875 101.448738098
371 100.897155762 101.385498047
372 101.039047241 101.313537598
373 100.999923706 101.416297913
374 100.996620178 101.396087646
375 100.98348999 101.346313477
376 100.985374451 101.376106262
377 100.942016602 101.460876465
378 100.962295532 101.2890625
379 100.96547699 101.40019989
380 100.922676086 101.323783875
381 100.969230652 101.298377991
382 100.924591064 101.315238953
383 100.85559845 101.286849976
384 100.85458374 101.428009033
385 100.924438477 101.377433777
386 100.916915894 101.323059082
387 100.887451172 101.326797485
388 100.881698608 101.33127594
389 100.843666077 101.277816772
390 100.884094238 101.24495697
391 100.876113892 101.282264709
392 100.827178955 101.247413635
393 100.827697754 101.254325867
394 100.828819275 101.311676025
395 100.847358704 101.334274292
396 100.795074463 101.16104126
397 100.845916748 101.308158875
398 100.774528503 101.244918823
399 100.803260803 101.235710144
400 100.801239014 101.236053467
401 100.886169434 101.280677795
402 100.840293884 101.176696777
403 100.86403656 101.257522583
404 100.823234558 101.306236267
405 100.780593872 101.195869446
406 100.714767456 101.146720886
407 100.71672821 101.096221924
408 100.770874023 101.181526184
409 100.773468018 101.142211914
410 100.740127563 101.233734131
411 100.756004333 101.084259033
412 100.761024475 101.149757385
413 100.712181091 101.050575256
414 100.792198181 101.214286804
415 100.677825928 101.091560364
416 100.717933655 101.157562256
417 100.669136047 101.135154724
418 100.690170288 101.131317139
419 100.673530579 101.003219604
420 100.671226501 101.105995178
421 100.739059448 101.071014404
422 100.658538818 101.096107483
423 100.653816223 101.118988037
424 100.669883728 101.119499207
425 100.64756012 101.082763672
426 100.625740051 100.985290527
427 100.593307495 101.062225342
428 100.656700134 101.05140686
429 100.652275085 101.021461487
430 100.588348389 101.034294128
431 100.655929565 101.137306213
432 100.613418579 101.015281677
433 100.702415466 101.111450195
434 100.559944153 101.023246765
435 100.608078003 100.982879639
436 100.622276306 101.052101135
437 100.557830811 100.979049683
438 100.628196716 101.040771484
439 100.543113708 100.990348816
440 100.569839478 101.021812439
441 100.634338379 101.03011322
442 100.61605835 100.943534851
443 100.579170227 100.936264038
444 100.573043823 101.061187744
445 100.536376953 100.957771301
446 100.572303772 101.015144348
447 100.474655151 100.988563538
448 100.489280701 100.962562561
449 100.438179016 100.895271301
450 100.507499695 100.941169739
451 100.597457886 101.037651062
452 100.559066772 100.922874451
453 100.589935303 101.06224823
